STATE,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM)
Alabama.csv_2.csv 0,,2094.565414507772,1119.0639896373057,308.0559585492228,162.70129533678755,92.39870466321244,109.96295336787564,68.40349740932642,37.839507772020724
Alaska.csv_2.csv 0,,868.4148387096774,528.0690322580646,161.15032258064517,81.47709677419356,48.60967741935484,60.09532258064516,39.63693548387097,22.809838709677418
Arizona.csv_2.csv 0,,3028.5942864806866,1761.2752145922748,545.0150214592275,277.97103004291847,188.30297746781116,219.69863197424894,138.23605150214593,40.42918454935622
Arkansas.csv_2.csv 0,,2164.417470596009,1432.1889784590987,397.2025901942646,229.89044535483018,135.4476014272499,165.8419452887538,104.76159640544469,37.73106911589798
California.csv_2.csv 0,,2946.1780428222446,1826.0041672654118,535.9369162235953,276.1671217128898,178.85357091536142,214.53269147866072,117.39430952723093,41.67480959908033
Colorado.csv_2.csv 0,,4587.241635167296,2752.184796304074,784.1992160156797,395.7762844743105,250.9284614307714,320.4057118857623,161.0060198796024,81.32493350132998
Connecticut.csv_2.csv 0,,2919.4322549838844,1860.5647606541722,585.8707174406112,293.2510445266802,167.75098483944132,176.1758386057061,85.09132147546855,32.53264891966098
Delaware.csv_2.csv 0,,1689.3342074210043,975.5029500458896,297.6117739609283,155.0120624098597,97.03133604300511,119.78248328307329,65.90271404221843,25.607447226956864
Florida.csv_2.csv 0,,1488.6774434964825,910.7211495285137,271.2870827720401,133.41445891333632,81.98578057177069,104.36341864990271,54.488250261936834,25.74075737165095
Georgia.csv_2.csv 0,,2881.875214805023,1708.6565763384006,497.84904163912756,264.00502313284863,176.31658955717117,217.93972240581627,136.6769332452082,60.68962326503635
Idaho.csv_2.csv 0,,2654.9266640095657,1546.8771090740004,430.2698286169789,226.91776272087154,124.74212833798326,145.74624684469245,87.58057659093929,32.242460475621094
Illinois.csv_2.csv 0,,1850.4134311369673,1081.363475401543,316.61110408498797,168.78474769191854,101.54673074490957,128.8035917541419,70.35019602883521,34.236372834197546
Indiana.csv_2.csv 0,,1443.0302355187778,908.1266709102482,261.9995225970719,144.78580521960535,80.22819859961808,109.18666454487588,61.034373010821135,24.958147676639083
Iowa.csv_2.csv 0,,1724.9401314188367,1050.469213920662,304.4597225602336,162.52397176928693,94.09418349963495,116.65940618155268,72.87892431248478,33.369919688488686
Kansas.csv_2.csv 0,,2646.9403444895675,1733.6189609298417,495.043831396163,266.440414507772,154.72916958409186,182.58969332026328,102.76893992438033,38.560985856322645
Kentucky.csv_2.csv 0,,2516.982238691541,1462.1801686685408,424.0888065422949,215.7038078200869,127.9865831842576,152.73818042422693,91.30360337337082,52.264758497316635
