statename;avgtemp;maxtemp;mintemp;Population;Total area;Land area;Water area;gdp;Avg Daily Sunlight (KJ/mI);Avg Daily Precipitation (mm);Avg Fine Particulate Matter (µg/mі);Avg Daily Max Air Temperature (C);Avg Daily Min Air Temperature (C);Avg Daily Max Heat Index (C);Avg Day Land Surface Temperature (C);Avg Night Land Surface Temperature �
Alabama;18,15073;24,36789;12,81474;579315;253335;25147;1864;199804;18232,38578;3,47057;12,80147;24,86245;12,42863;34,91879;24,07264;10,77783
Alaska;0,61407;5,03576;-3,84142;623657;24906;23871;1035;52448;20156,43096;0,67403;10,11839;22,04751;10,6798;31,51067;34,85596;8,19351
Arizona;12,81037;19,83225;6,49203;739795;1723337;1477953;245384;293318;17455,77761;3,7745;11,75982;24,46532;11,76869;36,2771;22,79328;10,92566
Arkansas;15,53062;21,58423;10,02111;755393;183108;178711;4397;119081;19438,55438;1,29832;9,2987;19,6814;8,80829;31,58362;31,34254;8,73975
California;13,94088;20,89740;8,04068;869666;199729;19635;3379;2510167;17553,45713;1,2228;12,74496;14,01545;2,64034;30,26147;23,19485;-0,66682
Colorado;4,66024;11,49049;-1,11502;961939;6446;5047;1399;315621;15311,67932;4,60203;10,50331;14,71264;6,71809;31,53491;17,78393;5,80111
Connecticut;11,31052;16,53088;5,95438;1050493;380831;376962;3869;253467;16458,57308;3,29961;11,87851;17,81823;10,20085;32,63014;21,23439;8,16881
Delaware;17,78192;23,13226;12,43988;1059639;4001;2678;1324;69893;15701,40246;3,40603;12,64507;19,03925;9,25113;33,4359;24,27596;10,62464
Florida;22,84778;28,65181;18,16070;1335907;91633;79883;1175;890884;19700,77811;3,2149;11,36536;27,86159;17,17861;34,41963;27,17127;14,30117
Georgia;17,92371;24,14699;12,60207;1342795;24214;23187;1027;505693;18574,36502;2,7732;12,78185;25,11337;13,07036;34,82971;24,62171;10,72604
Idaho;6,82525;13,24189;1,22094;1716943;216443;214045;2398;65670;15799,46368;1,76618;10,06334;10,94473;1,69677;28,56049;21,06128;-0,39583
Illinois;12,30809;17,76036;6,85133;1815857;62756;62259;497;778353;15248,3337;3,12862;12,54319;17,99458;7,41457;35,44238;19,87914;6,84752
Indiana;12,01933;17,52137;6,64530;1920076;20033;198974;1356;333436;15000,74863;3,8604;13,53122;17,36621;7,7234;34,56998;21,18335;7,61088
