States;Acute Lymphocytic Leukemia;Acute Monocytic Leukemia;Acute Myeloid Leukemia;Aleukemic, Subleukemic and NOS;All Invasive Cancer Sites Combined;Anus, Anal Canal and Anorectum;Appendix;Ascending Colon;Bones and Joints;Brain;Brain and Other Nervous System;Cecum;Cervix Uteri;Chronic Lymphocytic Leukemia;Chronic Myeloid Leukemia;Colon and Rectum;Colon excluding Rectum;Corpus Uteri;Cranial Nerves Other Nervous System;Descending Colon;Digestive System;Endocrine System;Esophagus;Eye and Orbit;Female Breast;Female Breast, In Situ;Female Genital System;Floor of Mouth;Gallbladder;Gum and Other Mouth;Hepatic Flexure;Hodgkin - Nodal;Hodgkin Lymphoma;Hypopharynx;Intrahepatic Bile Duct;Kaposi Sarcoma;Kidney and Renal Pelvis;Large Intestine, NOS;Larynx;Leukemias;Lip;Liver;Liver and Intrahepatic Bile Duct;Lung and Bronchus;Lymphomas;Male Breast;Male Breast, In Situ;Male Genital System;Male and Female Breast;Male and Female Breast, In Situ;Melanoma of the Skin;Mesothelioma;Miscellaneous;Myeloma;NHL - Extranodal;NHL - Nodal;Nasopharynx;Non-Hodgkin Lymphoma;Nose, Nasal Cavity and Middle Ear;Oral Cavity and Pharynx;Oropharynx;Other Acute Leukemia;Other Biliary;Other Digestive Organs;Other Endocrine including Thymus;Other Female Genital Organs;Other Leukemias;Other Lymphocytic Leukemia;Other Male Genital Organs;Other Myeloid/Monocytic Leukemia;Other Non-Epithelial Skin;Other Oral Cavity and Pharynx;Other Urinary Organs;Ovary;Pancreas;Penis;Peritoneum, Omentum and Mesentery;Prostate;Rectosigmoid Junction;Rectum;Rectum and Rectosigmoid Junction;Respiratory System;Retroperitoneum;Salivary Gland;Sigmoid Colon;Skin excluding Basal and Squamous;Small Intestine;Soft Tissue including Heart;Splenic Flexure;Stomach;Testis;Thyroid;Tongue;Tonsil;Trachea, Mediastinum and Other Respiratory Organs;Transverse Colon;Ureter;Urinary Bladder, invasive and in situ;Urinary System;Uterus, NOS;Vagina;Vulva
Alabama;0,000013;0,000000;0,000044;0,000006;0,005442;0,000022;0,000017;0,000070;0,000008;0,000067;0,000070;0,000076;0,000049;0,000051;0,000016;0,000513;0,000374;0,000126;0,000003;0,000021;0,000998;0,000116;0,000060;0,000013;0,000785;0,000165;0,000274;0,000008;0,000011;0,000022;0,000017;0,000024;0,000025;0,000008;0,000010;0,000000;0,000216;0,000041;0,000055;0,000140;0,000012;0,000086;0,000097;0,000803;0,000217;0,000010;0,000000;0,000727;0,000795;0,000167;0,000260;0,000006;0,000208;0,000083;0,000063;0,000128;0,000005;0,000192;0,000006;0,000161;0,000007;0,000000;0,000021;0,000006;0,000009;0,000003;0,000016;0,000004;0,000000;0,000000;0,000017;0,000004;0,000000;0,000071;0,000157;0,000004;0,000005;0,000703;0,000025;0,000114;0,000139;0,000867;0,000004;0,000021;0,000088;0,000276;0,000025;0,000036;0,000010;0,000078;0,000019;0,000107;0,000043;0,000033;0,000003;0,000034;0,000006;0,000221;0,000445;0,000004;0,000004;0,000017
Alaska;0,000000;0,000000;0,000024;0,000000;0,003715;0,000000;0,000000;0,000026;0,000000;0,000066;0,000069;0,000051;0,000039;0,000026;0,000000;0,000398;0,000261;0,000112;0,000000;0,000000;0,000762;0,000110;0,000043;0,000000;0,000577;0,000139;0,000237;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000184;0,000027;0,000030;0,000098;0,000000;0,000073;0,000083;0,000475;0,000186;0,000000;0,000000;0,000358;0,000582;0,000139;0,000107;0,000000;0,000100;0,000035;0,000049;0,000118;0,000000;0,000167;0,000000;0,000108;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000049;0,000091;0,000000;0,000000;0,000309;0,000031;0,000106;0,000137;0,000512;0,000000;0,000000;0,000088;0,000115;0,000026;0,000037;0,000000;0,000079;0,000045;0,000100;0,000000;0,000031;0,000000;0,000000;0,000000;0,000195;0,000381;0,000000;0,000000;0,000000
Arizona;0,000022;0,000002;0,000041;0,000005;0,004515;0,000017;0,000013;0,000053;0,000008;0,000059;0,000063;0,000054;0,000035;0,000033;0,000016;0,000378;0,000266;0,000141;0,000005;0,000016;0,000804;0,000147;0,000049;0,000008;0,000676;0,000145;0,000260;0,000005;0,000011;0,000013;0,000009;0,000021;0,000022;0,000004;0,000010;0,000000;0,000181;0,000032;0,000024;0,000128;0,000000;0,000088;0,000099;0,000582;0,000196;0,000005;0,000000;0,000504;0,000682;0,000146;0,000275;0,000011;0,000175;0,000058;0,000057;0,000117;0,000003;0,000174;0,000008;0,000111;0,000004;0,000003;0,000018;0,000007;0,000007;0,000008;0,000016;0,000003;0,000000;0,000000;0,000015;0,000003;0,000002;0,000060;0,000136;0,000003;0,000006;0,000474;0,000031;0,000081;0,000112;0,000617;0,000003;0,000015;0,000060;0,000290;0,000021;0,000033;0,000006;0,000060;0,000026;0,000140;0,000039;0,000023;0,000000;0,000023;0,000005;0,000229;0,000418;0,000007;0,000000;0,000007
Arkansas;0,000013;0,000000;0,000050;0,000009;0,005671;0,000022;0,000020;0,000072;0,000013;0,000065;0,000071;0,000081;0,000054;0,000060;0,000020;0,000531;0,000387;0,000144;0,000006;0,000023;0,001011;0,000151;0,000053;0,000010;0,000728;0,000171;0,000307;0,000009;0,000012;0,000026;0,000016;0,000026;0,000026;0,000009;0,000015;0,000000;0,000228;0,000030;0,000040;0,000164;0,000007;0,000076;0,000091;0,000973;0,000231;0,000007;0,000000;0,000722;0,000735;0,000171;0,000259;0,000006;0,000194;0,000085;0,000066;0,000139;0,000006;0,000204;0,000008;0,000171;0,000008;0,000000;0,000018;0,000006;0,000008;0,000000;0,000021;0,000000;0,000000;0,000000;0,000022;0,000000;0,000000;0,000073;0,000145;0,000006;0,000008;0,000695;0,000039;0,000105;0,000144;0,001023;0,000000;0,000018;0,000100;0,000281;0,000038;0,000032;0,000016;0,000082;0,000021;0,000143;0,000045;0,000038;0,000000;0,000030;0,000006;0,000224;0,000462;0,000006;0,000005;0,000018
California;0,000020;0,000002;0,000039;0,000004;0,004257;0,000020;0,000015;0,000048;0,000009;0,000057;0,000061;0,000054;0,000036;0,000037;0,000015;0,000373;0,000261;0,000145;0,000003;0,000015;0,000810;0,000145;0,000038;0,000009;0,000683;0,000156;0,000273;0,000004;0,000013;0,000013;0,000012;0,000021;0,000022;0,000005;0,000013;0,000005;0,000159;0,000016;0,000021;0,000124;0,000008;0,000096;0,000109;0,000433;0,000212;0,000005;0,000001;0,000486;0,000688;0,000157;0,000244;0,000009;0,000147;0,000061;0,000066;0,000125;0,000007;0,000191;0,000006;0,000112;0,000004;0,000002;0,000020;0,000008;0,000008;0,000007;0,000013;0,000004;0,000001;0,000002;0,000022;0,000001;0,000003;0,000065;0,000124;0,000003;0,000006;0,000451;0,000024;0,000089;0,000113;0,000462;0,000003;0,000013;0,000071;0,000265;0,000020;0,000037;0,000008;0,000076;0,000030;0,000138;0,000037;0,000021;0,000002;0,000023;0,000005;0,000171;0,000339;0,000006;0,000003;0,000011
Colorado;0,000012;0,000000;0,000042;0,000006;0,004129;0,000015;0,000019;0,000041;0,000012;0,000065;0,000070;0,000055;0,000032;0,000042;0,000014;0,000347;0,000241;0,000122;0,000005;0,000010;0,000735;0,000156;0,000048;0,000010;0,000686;0,000147;0,000240;0,000005;0,000010;0,000011;0,000009;0,000024;0,000024;0,000004;0,000012;0,000003;0,000148;0,000020;0,000026;0,000129;0,000009;0,000072;0,000084;0,000424;0,000204;0,000006;0,000000;0,000485;0,000691;0,000148;0,000227;0,000007;0,000127;0,000065;0,000054;0,000126;0,000007;0,000180;0,000006;0,000126;0,000005;0,000000;0,000018;0,000009;0,000006;0,000011;0,000019;0,000007;0,000000;0,000003;0,000018;0,000007;0,000003;0,000055;0,000112;0,000000;0,000007;0,000451;0,000024;0,000082;0,000105;0,000457;0,000005;0,000011;0,000062;0,000245;0,000023;0,000031;0,000007;0,000056;0,000031;0,000150;0,000045;0,000023;0,000000;0,000018;0,000003;0,000180;0,000335;0,000004;0,000003;0,000012
Connecticut;0,000013;0,000000;0,000045;0,000005;0,005791;0,000025;0,000020;0,000060;0,000013;0,000081;0,000084;0,000058;0,000034;0,000058;0,000021;0,000439;0,000316;0,000195;0,000000;0,000016;0,001001;0,000203;0,000063;0,000011;0,000925;0,000267;0,000345;0,000007;0,000010;0,000024;0,000016;0,000036;0,000036;0,000010;0,000015;0,000000;0,000196;0,000022;0,000039;0,000152;0,000006;0,000096;0,000111;0,000718;0,000306;0,000010;0,000000;0,000689;0,000935;0,000269;0,000246;0,000011;0,000185;0,000091;0,000105;0,000164;0,000005;0,000270;0,000009;0,000157;0,000006;0,000000;0,000027;0,000009;0,000007;0,000007;0,000015;0,000005;0,000000;0,000000;0,000018;0,000000;0,000012;0,000082;0,000175;0,000000;0,000008;0,000663;0,000029;0,000094;0,000123;0,000768;0,000006;0,000014;0,000082;0,000264;0,000031;0,000033;0,000009;0,000096;0,000021;0,000196;0,000053;0,000031;0,000000;0,000035;0,000009;0,000322;0,000540;0,000007;0,000000;0,000017
Delaware;0,000000;0,000000;0,000059;0,000000;0,006208;0,000029;0,000020;0,000069;0,000000;0,000059;0,000061;0,000081;0,000041;0,000049;0,000024;0,000483;0,000348;0,000205;0,000000;0,000000;0,001068;0,000162;0,000068;0,000000;0,000888;0,000238;0,000345;0,000000;0,000000;0,000020;0,000019;0,000036;0,000036;0,000000;0,000000;0,000000;0,000217;0,000020;0,000043;0,000159;0,000000;0,000092;0,000105;0,000935;0,000283;0,000000;0,000000;0,000822;0,000902;0,000239;0,000366;0,000000;0,000169;0,000100;0,000080;0,000167;0,000000;0,000247;0,000000;0,000170;0,000000;0,000000;0,000027;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000059;0,000191;0,000000;0,000000;0,000794;0,000057;0,000078;0,000135;0,000991;0,000000;0,000026;0,000087;0,000376;0,000042;0,000032;0,000000;0,000089;0,000024;0,000152;0,000055;0,000035;0,000000;0,000032;0,000000;0,000317;0,000544;0,000000;0,000000;0,000000
Florida;0,000017;0,000003;0,000054;0,000006;0,005524;0,000028;0,000016;0,000070;0,000011;0,000073;0,000076;0,000073;0,000047;0,000043;0,000022;0,000478;0,000348;0,000168;0,000004;0,000020;0,001017;0,000146;0,000063;0,000010;0,000781;0,000177;0,000322;0,000009;0,000012;0,000020;0,000018;0,000025;0,000025;0,000010;0,000014;0,000005;0,000193;0,000027;0,000048;0,000154;0,000003;0,000098;0,000112;0,000800;0,000247;0,000008;0,000000;0,000563;0,000788;0,000177;0,000320;0,000012;0,000215;0,000080;0,000065;0,000156;0,000006;0,000221;0,000008;0,000175;0,000011;0,000003;0,000024;0,000010;0,000009;0,000007;0,000018;0,000005;0,000001;0,000002;0,000021;0,000010;0,000004;0,000074;0,000178;0,000005;0,000006;0,000536;0,000035;0,000095;0,000130;0,000858;0,000005;0,000015;0,000081;0,000341;0,000026;0,000039;0,000011;0,000076;0,000020;0,000137;0,000056;0,000035;0,000002;0,000033;0,000008;0,000260;0,000465;0,000006;0,000004;0,000016
Georgia;0,000012;0,000003;0,000045;0,000006;0,004851;0,000023;0,000018;0,000059;0,000011;0,000059;0,000063;0,000061;0,000043;0,000047;0,000019;0,000438;0,000302;0,000138;0,000004;0,000019;0,000868;0,000138;0,000046;0,000009;0,000722;0,000164;0,000269;0,000005;0,000010;0,000021;0,000013;0,000023;0,000024;0,000008;0,000014;0,000008;0,000176;0,000019;0,000041;0,000139;0,000006;0,000076;0,000090;0,000638;0,000212;0,000006;0,000000;0,000620;0,000728;0,000165;0,000281;0,000006;0,000165;0,000082;0,000068;0,000120;0,000007;0,000188;0,000008;0,000143;0,000006;0,000003;0,000017;0,000007;0,000009;0,000004;0,000016;0,000003;0,000000;0,000002;0,000016;0,000005;0,000006;0,000061;0,000135;0,000005;0,000004;0,000594;0,000028;0,000108;0,000137;0,000688;0,000004;0,000018;0,000076;0,000296;0,000027;0,000036;0,000007;0,000068;0,000019;0,000129;0,000041;0,000026;0,000002;0,000030;0,000005;0,000181;0,000368;0,000005;0,000005;0,000015
