State,Coronary heart disease(%),Cardiac dysrhythmia(%),Hypertension(%),Acute myocardial infarction(%),Asthma(%),Diabetes(%),Chlamydia(%),Gonorrhea(%),Primary and Secondary Syphilis(%)
Alabama,50.9,14.4,86.9,33.1,15.6,11.2,0.615383195919471,0.178600613190601,0.004084550824071
Alaska,29.7,9.4,52,19.1,13.4,7.8,0.778407833865802,0.14289959311743,0.001846513048179
Arizona,35.3,6.3,62.1,20.5,15.7,9.1,0.466567624004679,0.093327979511437,0.005097187387215
Arkansas,50.2,10.1,76,79.7,16.1,11.2,0.539689794623956,0.148570336619386,0.005531153353048
California,32.5,6.7,61,25.1,12.9,9.6,0.444966660538868,0.094928171941771,0.008374760719248
Colorado,26.7,9.3,52.5,18.9,13.9,6.4,0.411163281498607,0.053619979586502,0.00331076384024
Connecticut,39.9,10.7,70.1,18.4,16.4,8.1,0.368100013256084,0.06805578917702,0.001824104016816
Delaware,43.7,10,76.2,22.4,14.4,9.9,0.506893197940542,0.119568248440784,0.00446170483374
Florida,48,5.7,81.8,24.3,17.1,9.3,0.986938983185469,0.366936836298279,0.02414265082374
Georgia,42.5,10.1,75.1,29.1,12.5,9.3,0.410492505049314,0.104429702159876,0.007587683301792
Idaho,25.3,12.1,44.8,38.7,16.8,7.8,0.455586503949343,0.058078311015275,0.002708407956549
Illinois,45,9,77.3,32.6,13.7,7.3,0.314114709089873,0.015347420798019,0.001030447378097
Indiana,48.6,13.6,78.9,38.9,13.6,9.1,0.510540124982959,0.131278584688724,0.00649597965644
Iowa,35.3,8.2,55.6,31.3,14.8,10.5,0.434599706978836,0.108184207854158,0.00297754700516
Kansas,39,9.5,65.7,24.8,12.2,7.7,0.364031903999951,0.057147139147966,0.002175796745511
Kentucky,57.8,12.7,88,53.4,13.5,8.9,0.379911506716684,0.079393284935709,0.001377212775996
Louisiana,50.2,10.2,85.7,35,17.7,12.1,0.391668107629028,0.099610264577793,0.003186935548248
Maine,40.3,9.8,55.9,27.6,14.6,11.8,0.633075187100441,0.193800963106077,0.009681094228467
Maryland,42.3,11.4,78.1,24.5,15.7,9.4,0.253576224542641,0.022770109958931,0.001035004998133
Massachusetts,43.3,10.6,76,21.7,13.9,8,0.457746299608663,0.102844744782457,0.007585759814819
Michigan,57.8,8.9,92,29.4,15.5,9.5,0.341086747193618,0.044719385853768,0.004669539366283
Minnesota,34.1,9.1,56.5,15.3,15.7,6.9,0.470850254297063,0.115653818402772,0.003764779318826
Mississippi,48.7,9.4,88.8,53.8,11.1,13.6,0.34133002175772,0.061730341538696,0.003278496955218
Missouri,46.6,11.4,77.6,50.9,12.2,10.2,0.680897436197937,0.195967604487315,0.005089632786343
Montana,26.7,10,45.3,17.9,14.5,6.7,0.460308101424243,0.126959815709271,0.003714602758474
Nebraska,34.1,10.8,58.5,23.7,12.7,8,0.377918867929206,0.021097412530029,0.000545409019578
Nevada,36.5,6.1,70.4,17.6,12.1,9,0.380998596136915,0.075653667864662,0.001465999963955
New Hampshire,35.4,9.9,57.7,22.1,13.6,6.8,0.409183256083037,0.091895837523531,0.007331056878968
New Jersey,49.6,8.6,78.9,27.1,15.2,7.9,0.241910920328501,0.011805146968404,0.002232383561333
New Mexico,31,6.5,53,22,11.6,10.5,0.314817011396804,0.080271842098151,0.00279277473386
New York,44.3,6.6,73.1,27.6,15.1,8.9,0.564609053892767,0.094575224601168,0.004509292981238
North Carolina,42.9,10,73.4,29.8,14.7,9.6,0.507962244289187,0.107169328611487,0.007011948472531
North Dakota,34.5,8.3,51.8,26.9,13.4,8.1,0.51394984435844,0.153058742919054,0.004897122829098
Ohio,51.6,11,82.3,33.7,12.8,9.5,0.414648951046974,0.062607186541858,0.001059941081408
Oklahoma,48.7,11.5,79.2,26.7,14.1,10.7,0.46240393199407,0.142924222453295,0.004042760072118
Oregon,29.4,13,48.8,20.5,14.3,9.6,0.459769168818558,0.131282360030375,0.002848283686965
Pennsylvania,48.7,10,79.7,31.5,17.9,8.8,0.363282947810879,0.044794618401926,0.005424998058388
Rhode Island,48.5,7.7,79.5,28,15,7.9,0.412247622244233,0.109186300378595,0.003662786698263
South Carolina,41.7,11.4,75.2,34.8,16,10.5,0.407171546700103,0.045450048232704,0.004899377255854
South Dakota,34,4.9,55.3,55.7,13,8.4,0.579138590309704,0.165860877046569,0.005102193990903
Tennessee,48.4,9,80.4,49.7,12.5,11.4,0.460864187572262,0.089179281725866,0.003435717721432
Texas,43.4,9.3,77.7,36.6,14.5,11.2,0.482729238074372,0.121230632497422,0.003848898511006
Utah,26.3,11.8,49.7,21.6,12,7.5,0.490295972666419,0.126693737863813,0.005645593765552
Vermont,32.8,7.9,46.5,21.2,14,7.1,0.265455189109043,0.027435337184913,0.00154258407933
Virginia,40.8,12.2,74,27.6,16.2,9.6,0.290776796283038,0.013090143999566,0.000917906438994
Washington,31.7,8.3,54.6,24.7,12.3,7.7,0.42874064944906,0.087201643030769,0.003359420053134
West Virginia,60.6,10.8,85.7,36,15.1,12.5,0.255317657730391,0.047591545660456,0.000741301334275
Wisconsin,37.7,9.8,61.7,31.8,13,7.4,0.414729960938493,0.079263323098026,0.001470101259441
Wyoming,30.2,9.7,50.5,40.5,13.5,7.6,0.353740401041437,0.011775472902126,0.000389629618085

