State;Year;Month Code;Avg Daily Max Air Temperature (C);Avg Daily Min Air Temperature (C);Avg Daily Max Heat Index (C)
Alabama;2003;1;9.92460;-0.73467;NaN
Alabama;2003;2;14.67787;4.23257;NaN
Alabama;2003;3;20.17797;9.65127;28.22297
Alabama;2003;4;23.47882;12.03913;28.78511
Alabama;2003;5;27.21536;18.00089;32.01592
Alabama;2003;6;28.76357;20.89946;32.57125
Alabama;2003;7;29.81856;23.03596;34.22807
Alabama;2003;8;30.54592;24.22735;34.98764
Alabama;2003;9;27.69947;18.16769;31.26417
Alabama;2003;10;23.68457;12.87561;28.29053
Alabama;2003;11;20.70389;9.03973;28.65230
Alabama;2003;12;12.61797;1.12837;NaN
Alabama;2004;1;12.75742;1.93836;NaN
Alabama;2004;2;12.85662;3.63906;NaN
Alabama;2004;3;20.47427;8.53880;27.93597
Alabama;2004;4;22.35892;10.16659;28.45943
Alabama;2004;5;27.84784;18.19105;30.97581
Alabama;2004;6;29.45797;22.44903;33.16588
Alabama;2004;7;31.65559;23.53853;35.92647
Alabama;2004;8;30.26474;21.40008;33.69807
Alabama;2004;9;28.25243;18.95265;31.16376
Alabama;2004;10;26.26758;16.90119;29.85858
Alabama;2004;11;19.46979;9.92787;30.74518
Alabama;2004;12;13.05786;2.17047;28.42590
Alabama;2005;1;15.13631;4.53581;NaN
Alabama;2005;2;16.10789;5.96475;27.91829
Alabama;2005;3;17.46710;6.61291;28.31577
Alabama;2005;4;21.55651;10.17866;28.64070
Alabama;2005;5;25.54309;15.28394;30.34868
Alabama;2005;6;29.29978;21.23682;33.19095
Alabama;2005;7;31.38449;24.29134;36.70417
Alabama;2005;8;31.29899;24.52281;36.10648
Alabama;2005;9;30.37362;20.29955;33.35350
Alabama;2005;10;23.67985;12.53358;30.15664
Alabama;2005;11;19.57694;7.79064;28.53942
Alabama;2005;12;12.33025;1.45286;NaN
Alabama;2006;1;16.60409;5.39858;28.19442
Alabama;2006;2;13.35070;2.92350;NaN
Alabama;2006;3;18.69383;6.89734;28.53444
Alabama;2006;4;25.52470;13.37116;29.94979
Alabama;2006;5;27.33882;16.73044;32.27705
Alabama;2006;6;31.13578;20.60946;33.50801
Alabama;2006;7;33.13469;23.62833;36.70504
Alabama;2006;8;33.55466;24.83390;37.69953
Alabama;2006;9;29.58643;18.49142;31.39745
Alabama;2006;10;24.03447;11.48439;30.79297
Alabama;2006;11;18.46892;6.26008;27.62472
Alabama;2006;12;16.39889;4.36471;NaN
Alabama;2007;1;13.93530;3.48563;NaN
Alabama;2007;2;13.46408;1.85037;NaN
Alabama;2007;3;22.60760;9.69037;28.50649
Alabama;2007;4;21.70450;9.57377;28.62586
Alabama;2007;5;28.82481;16.12661;30.00744
Alabama;2007;6;33.01612;21.20701;34.27404
Alabama;2007;7;32.32403;23.37256;35.10477
Alabama;2007;8;36.22570;25.27646;39.66294
Alabama;2007;9;31.58625;20.18288;33.00163
Alabama;2007;10;26.54147;14.21597;30.81869
Alabama;2007;11;19.38631;6.15263;27.80082
Alabama;2007;12;17.48361;6.11789;27.84627
Alabama;2008;1;11.73264;0.85903;NaN
Alabama;2008;2;16.22481;3.73032;28.67064
Alabama;2008;3;19.39623;6.14851;29.15217
Alabama;2008;4;23.33659;11.69099;28.71820
Alabama;2008;5;27.53718;15.96765;31.46607
Alabama;2008;6;31.46895;21.64683;34.23478
Alabama;2008;7;32.43020;22.96096;35.90288
Alabama;2008;8;31.11019;22.19590;34.80619
Alabama;2008;9;29.57025;19.14574;32.41921
Alabama;2008;10;23.15459;11.45536;28.98249
Alabama;2008;11;16.78499;4.70824;27.93747
Alabama;2008;12;15.09146;4.77089;NaN
Arizona;2003;1;15.00762;4.79662;26.20226
Arizona;2003;2;12.39641;3.61748;26.21685
Arizona;2003;3;16.21149;6.23445;26.82888
Arizona;2003;4;19.47860;7.44427;27.20716
Arizona;2003;5;27.61138;14.22858;30.23255
Arizona;2003;6;32.00231;18.05207;30.94453
Arizona;2003;7;36.08401;23.44474;34.24846
Arizona;2003;8;33.24563;23.03280;32.65518
Arizona;2003;9;30.66841;19.38199;31.05675
Arizona;2003;10;26.74097;15.37753;29.50883
Arizona;2003;11;15.19757;5.42530;26.13820
Arizona;2003;12;11.41822;1.72516;NaN
Arizona;2004;1;10.51522;1.90609;NaN
Arizona;2004;2;10.18453;1.47072;26.10324
Arizona;2004;3;21.10229;9.87060;28.15388
Arizona;2004;4;20.64746;9.67579;28.00449
Arizona;2004;5;27.46933;13.87543;29.13040
Arizona;2004;6;31.82477;17.73732;30.67428
Arizona;2004;7;33.84514;21.87625;32.48299
Arizona;2004;8;32.06396;21.11160;31.74144
Arizona;2004;9;28.76940;17.58944;30.57325
Arizona;2004;10;21.23521;11.49255;28.72916
Arizona;2004;11;13.59984;4.98938;26.22782
Arizona;2004;12;10.31601;1.81409;NaN
Arizona;2005;1;11.41973;3.84732;NaN
Arizona;2005;2;11.93771;4.96754;NaN
Arizona;2005;3;14.98800;5.95254;26.88029
Arizona;2005;4;20.34266;8.65405;27.48442
Arizona;2005;5;26.93723;14.52925;30.03223
Arizona;2005;6;30.54812;17.65689;30.93526
Arizona;2005;7;35.29816;22.89036;33.76872
Arizona;2005;8;31.74113;22.03882;31.96240
Arizona;2005;9;29.81228;18.48107;30.50648
Arizona;2005;10;23.27466;12.70478;28.78280
Arizona;2005;11;17.85119;6.85198;26.86929
Arizona;2005;12;12.75423;2.37731;NaN
Arizona;2006;1;12.26637;1.73001;NaN
Arizona;2006;2;15.23915;3.68676;26.21242
Arizona;2006;3;14.46967;4.81673;26.36596
Arizona;2006;4;21.77241;9.18419;27.59384
Arizona;2006;5;28.56746;15.01269;29.64819
Arizona;2006;6;34.08185;20.49830;32.32037
Arizona;2006;7;34.71535;24.05291;34.09747
Arizona;2006;8;31.69770;21.86924;31.83287
Arizona;2006;9;27.90676;17.23294;30.33736
Arizona;2006;10;22.03210;11.68040;28.74153
Arizona;2006;11;18.32140;7.25938;26.88187
Arizona;2006;12;10.69543;0.65581;NaN
Arizona;2007;1;8.07767;-0.59760;NaN
Arizona;2007;2;13.00110;3.59824;26.19198
Arizona;2007;3;18.95497;7.50853;27.81883
Arizona;2007;4;22.08397;9.84041;28.25157
Arizona;2007;5;27.35730;14.49500;29.29821
Arizona;2007;6;32.84524;18.61834;31.71912
Arizona;2007;7;34.63361;22.89623;33.55757
Arizona;2007;8;33.18221;22.79309;33.05455
Arizona;2007;9;29.43776;18.66333;31.05727
Arizona;2007;10;23.68902;11.65775;28.54058
Arizona;2007;11;19.78620;8.71595;27.31768
Arizona;2007;12;7.93482;0.00479;NaN
Arizona;2008;1;7.65267;0.08008;NaN
Arizona;2008;2;11.58296;2.22699;25.97351
Arizona;2008;3;16.85088;5.59590;26.88074
Arizona;2008;4;21.21403;7.81512;28.00608
Arizona;2008;5;24.19138;11.40252;29.20327
Arizona;2008;6;32.67387;18.83343;31.87887
Arizona;2008;7;33.18199;22.46063;32.73548
Arizona;2008;8;32.38535;22.14469;32.27762
Arizona;2008;9;29.73550;18.93365;30.63552
Arizona;2008;10;24.21112;12.11641;28.82478
Arizona;2008;11;18.12697;7.05746;27.27118
Arizona;2008;12;10.48598;2.20365;NaN
Arkansas;2003;1;8.00109;-2.05681;NaN
Arkansas;2003;2;9.97935;0.79869;NaN
Arkansas;2003;3;17.76854;6.09780;27.99839
Arkansas;2003;4;22.89571;10.63592;28.58438
Arkansas;2003;5;26.86624;17.01206;32.81873
Arkansas;2003;6;28.33656;19.43535;32.49327
Arkansas;2003;7;32.21800;22.82378;36.75111
Arkansas;2003;8;33.12300;23.39472;37.45539
Arkansas;2003;9;27.32441;16.04878;30.61711
Arkansas;2003;10;24.42627;12.57781;28.86162
Arkansas;2003;11;18.75840;7.91815;28.91177
Arkansas;2003;12;11.61872;0.83020;NaN
Arkansas;2004;1;10.65884;0.69473;27.73566
Arkansas;2004;2;10.35668;0.97713;NaN
Arkansas;2004;3;18.83572;8.02044;28.74658
Arkansas;2004;4;21.73644;10.35953;29.15169
Arkansas;2004;5;27.33535;16.97276;31.74087
Arkansas;2004;6;29.16085;20.94721;32.60019
Arkansas;2004;7;31.40967;22.14215;36.06355
Arkansas;2004;8;30.47337;19.36870;34.30115
Arkansas;2004;9;30.27139;16.80547;30.86975
Arkansas;2004;10;25.44197;15.17033;30.23319
Arkansas;2004;11;17.11038;8.35168;28.72102
Arkansas;2004;12;10.46921;0.11873;NaN
Arkansas;2005;1;11.85211;2.78368;NaN
Arkansas;2005;2;14.10147;4.96555;26.97876
Arkansas;2005;3;15.69355;5.09802;27.83848
Arkansas;2005;4;21.10481;9.79729;29.22933
Arkansas;2005;5;25.38387;14.86703;31.19008
Arkansas;2005;6;31.32999;21.16358;34.50032
Arkansas;2005;7;33.10392;23.08449;36.99002
Arkansas;2005;8;35.05021;23.80096;38.03110
Arkansas;2005;9;32.71609;19.39198;34.96215
Arkansas;2005;10;24.55494;11.62833;30.95982
Arkansas;2005;11;19.56762;6.91035;29.52325
Arkansas;2005;12;11.10950;-0.07838;28.46689
Arkansas;2006;1;15.88445;3.49952;27.64654
Arkansas;2006;2;11.41876;0.61996;27.92969
Arkansas;2006;3;18.42136;6.67473;29.54750
Arkansas;2006;4;25.76206;12.72599;30.34691
Arkansas;2006;5;27.72369;16.43480;33.27767
Arkansas;2006;6;31.86908;20.07536;33.50405
Arkansas;2006;7;35.92879;22.75163;37.88874
Arkansas;2006;8;35.92839;23.71260;38.84062
Arkansas;2006;9;29.81898;15.98278;31.55390
Arkansas;2006;10;23.53968;10.40280;31.09689
Arkansas;2006;11;17.58327;5.48757;29.56032
Arkansas;2006;12;12.43138;2.41629;NaN
Arkansas;2007;1;9.63933;0.87199;NaN
Arkansas;2007;2;10.02251;0.14680;27.67481
Arkansas;2007;3;21.86091;10.27245;28.59580
Arkansas;2007;4;19.81747;8.61578;29.46711
Arkansas;2007;5;27.38005;17.43908;30.75169
Arkansas;2007;6;31.17412;21.54455;34.15903
Arkansas;2007;7;31.29106;22.12985;34.84983
Arkansas;2007;8;36.53207;23.82010;39.60815
Arkansas;2007;9;30.33173;19.21541;32.61535
Arkansas;2007;10;24.22314;13.22744;31.21445
Arkansas;2007;11;18.11659;6.75442;28.26759
Arkansas;2007;12;13.90364;3.14622;28.84508
Arkansas;2008;1;9.44906;-0.85460;NaN
Arkansas;2008;2;13.46374;1.96908;27.98922
Arkansas;2008;3;17.59601;5.96850;28.48084
Arkansas;2008;4;20.66355;9.09059;30.17408
Arkansas;2008;5;26.35456;15.39790;33.11188
Arkansas;2008;6;31.05502;21.14349;34.91573
Arkansas;2008;7;33.05083;22.45813;37.21637
Arkansas;2008;8;31.22929;21.72592;35.72453
Arkansas;2008;9;27.37747;17.30362;31.23754
Arkansas;2008;10;22.49695;10.24430;29.31270
Arkansas;2008;11;15.21532;4.35673;28.05553
Arkansas;2008;12;11.57511;0.32030;NaN
California;2003;1;15.16287;6.55443;26.81670
California;2003;2;11.90748;3.17470;26.79094
California;2003;3;15.19414;5.56673;27.25084
California;2003;4;14.20144;5.24587;27.32255
California;2003;5;22.57541;10.72562;30.88752
California;2003;6;28.74714;15.11143;31.79287
California;2003;7;33.31621;19.43338;34.15884
California;2003;8;31.26623;18.33636;32.87885
California;2003;9;30.75271;17.16319;32.09176
California;2003;10;25.80131;13.02648;29.52128
California;2003;11;13.03049;4.58630;26.34794
California;2003;12;10.67357;3.51125;NaN
California;2004;1;10.82839;2.77317;NaN
California;2004;2;10.44885;2.58403;26.32388
California;2004;3;19.12946;8.42583;28.10675
California;2004;4;19.66312;8.14676;28.64558
California;2004;5;23.79228;10.86989;29.63152
California;2004;6;28.78734;14.75793;31.65453
California;2004;7;32.21859;17.90500;32.96638
California;2004;8;31.71026;17.56374;32.52683
California;2004;9;28.47063;14.84922;31.27894
California;2004;10;20.13781;9.87925;29.07558
California;2004;11;13.52449;4.76873;26.67428
California;2004;12;11.31489;3.51440;26.46597
California;2005;1;10.65911;3.72874;26.41108
California;2005;2;12.21810;4.66774;NaN
California;2005;3;14.96880;6.15792;27.41191
California;2005;4;16.56914;6.33430;27.59685
California;2005;5;22.16017;10.97103;30.23862
California;2005;6;25.05171;12.70172;30.80471
California;2005;7;33.05314;19.58002;34.44353
California;2005;8;31.78162;18.85499;32.99081
California;2005;9;26.70644;13.73155;30.04787
California;2005;10;21.72757;10.38095;28.39942
California;2005;11;16.78360;7.06679;26.77637
California;2005;12;12.28606;4.52655;26.41523
California;2006;1;11.07829;3.11259;26.61323
California;2006;2;13.31088;3.50109;26.32320
California;2006;3;10.36750;2.64949;26.67660
California;2006;4;16.22252;6.88165;28.38980
California;2006;5;23.98919;11.94732;30.30867
California;2006;6;29.46470;16.43133;32.94947
California;2006;7;33.42477;20.13891;35.02224
California;2006;8;31.10395;16.94582;32.17646
California;2006;9;29.01443;15.17705;31.31036
California;2006;10;21.89729;10.25515;27.94826
California;2006;11;16.06807;6.73722;27.27940
California;2006;12;11.14162;2.70282;26.07775
California;2007;1;9.54024;0.54528;26.08198
California;2007;2;12.22688;3.78354;26.38163
California;2007;3;17.90935;6.73761;27.94145
California;2007;4;19.19756;7.74875;28.87187
California;2007;5;24.36684;11.20324;29.70105
California;2007;6;28.65564;14.48232;32.02828
California;2007;7;32.67679;18.66698;33.59473
California;2007;8;32.27915;18.25885;33.32551
California;2007;9;26.84568;14.21221;31.38321
California;2007;10;20.93060;9.75971;28.20778
California;2007;11;17.81915;6.93326;27.08642
California;2007;12;8.96810;1.18498;26.76462
California;2008;1;8.34742;1.44551;NaN
California;2008;2;11.41438;2.52381;26.27591
California;2008;3;14.91604;4.42207;27.21930
California;2008;4;18.18118;6.08890;28.32529
California;2008;5;22.51420;10.19915;30.01578
California;2008;6;29.24287;15.00942;32.32919
California;2008;7;32.55175;18.27236;33.32143
California;2008;8;32.54383;18.30061;33.22616
California;2008;9;30.16510;16.03289;31.45066
California;2008;10;23.38964;11.03797;28.75813
California;2008;11;17.48041;7.71933;27.20995
California;2008;12;10.08826;2.03175;26.40993
Colorado;2003;1;4.48067;-4.13151;NaN
Colorado;2003;2;1.07115;-7.17277;NaN
Colorado;2003;3;6.85822;-2.44325;25.97279
Colorado;2003;4;12.53182;2.14282;26.64441
Colorado;2003;5;18.69637;7.13328;28.27951
Colorado;2003;6;22.15869;10.64477;28.24864
Colorado;2003;7;29.99674;17.12209;31.30415
Colorado;2003;8;27.30943;15.59166;30.35319
Colorado;2003;9;21.21102;8.59878;27.73836
Colorado;2003;10;18.35752;5.88312;27.42953
Colorado;2003;11;6.02221;-3.31400;26.64814
Colorado;2003;12;2.81482;-5.92155;NaN
Colorado;2004;1;1.54931;-7.01862;NaN
Colorado;2004;2;1.34043;-7.04122;NaN
Colorado;2004;3;10.72032;0.17142;26.30291
Colorado;2004;4;12.39472;2.58295;26.57911
