State;Year;Month Code;Avg Day Land Surface Temperature (C);Avg Night Land Surface Temperature (C)
Alabama;2003;1;11.35026;0.71835
Alabama;2003;2;16.49467;2.34406
Alabama;2003;3;23.47125;7.77185
Alabama;2003;4;26.69776;10.52983
Alabama;2003;5;26.63961;14.90585
Alabama;2003;6;27.76182;17.98308
Alabama;2003;7;27.89786;19.95123
Alabama;2003;8;28.00674;20.17005
Alabama;2003;9;27.31047;15.72902
Alabama;2003;10;25.40017;10.47004
Alabama;2003;11;20.90032;8.29608
Alabama;2003;12;13.94243;0.89151
Alabama;2004;1;12.56464;1.09511
Alabama;2004;2;16.19961;1.65604
Alabama;2004;3;24.46604;6.95099
Alabama;2004;4;26.68091;8.09425
Alabama;2004;5;28.57944;15.15501
Alabama;2004;6;27.79329;18.52639
Alabama;2004;7;28.94718;20.33935
Alabama;2004;8;28.73392;18.35653
Alabama;2004;9;27.48330;16.39181
Alabama;2004;10;25.77535;13.14682
Alabama;2004;11;18.95441;7.19814
Alabama;2004;12;13.85257;2.33605
Alabama;2005;1;15.44005;4.06817
Alabama;2005;2;17.23762;3.62959
Alabama;2005;3;21.68220;5.13686
Alabama;2005;4;25.07407;9.30609
Alabama;2005;5;27.50929;12.66372
Alabama;2005;6;28.80390;19.10136
Alabama;2005;7;28.50181;21.28910
Alabama;2005;8;28.70270;20.75507
Alabama;2005;9;29.71469;17.97918
Alabama;2005;10;25.25759;10.97542
Alabama;2005;11;19.81051;6.37284
Alabama;2005;12;13.33730;0.98321
Alabama;2006;1;16.87871;3.99162
Alabama;2006;2;16.04242;2.44777
Alabama;2006;3;23.20084;5.89588
Alabama;2006;4;28.21227;12.12878
Alabama;2006;5;28.51476;14.39311
Alabama;2006;6;32.58315;18.03095
Alabama;2006;7;32.74936;20.47862
Alabama;2006;8;31.10317;21.07241
Alabama;2006;9;28.73371;15.16457
Alabama;2006;10;24.43676;9.72491
Alabama;2006;11;18.61994;4.70639
Alabama;2006;12;16.63874;4.02468
Alabama;2007;1;13.74555;2.48259
Alabama;2007;2;16.65592;2.72464
Alabama;2007;3;24.86525;7.33327
Alabama;2007;4;24.85250;8.56864
Alabama;2007;5;30.36172;13.58225
Alabama;2007;6;33.43926;18.38946
Alabama;2007;7;29.36517;19.60118
Alabama;2007;8;34.15740;22.15693
Alabama;2007;9;29.86930;16.97423
Alabama;2007;10;26.57351;12.24618
Alabama;2007;11;19.95552;5.78571
Alabama;2007;12;17.32837;6.02263
Alabama;2008;1;12.57047;2.61743
Alabama;2008;2;17.88191;3.06198
Alabama;2008;3;23.07095;5.59853
Alabama;2008;4;25.89731;9.30496
Alabama;2008;5;28.02451;14.06258
Alabama;2008;6;31.02405;19.46002
Alabama;2008;7;31.05511;19.94264
Alabama;2008;8;29.78292;19.83709
Alabama;2008;9;27.71575;16.29680
Alabama;2008;10;23.63272;9.98683
Alabama;2008;11;18.48158;3.86194
Alabama;2008;12;13.64885;1.63318
Arizona;2003;1;20.66859;0.78283
Arizona;2003;2;20.42877;-1.13606
Arizona;2003;3;28.71341;2.63846
Arizona;2003;4;35.42143;4.90402
Arizona;2003;5;43.83368;10.90284
Arizona;2003;6;50.11097;16.00545
Arizona;2003;7;51.62454;19.53140
Arizona;2003;8;45.39547;19.12058
Arizona;2003;9;42.71033;15.99687
Arizona;2003;10;36.45967;11.78728
Arizona;2003;11;20.99583;1.32344
Arizona;2003;12;16.26710;-1.89095
Arizona;2004;1;16.75785;-1.82401
Arizona;2004;2;19.52838;-2.40652
Arizona;2004;3;33.41140;5.72245
Arizona;2004;4;36.00157;7.14497
Arizona;2004;5;44.65880;11.32873
Arizona;2004;6;50.33220;15.69021
Arizona;2004;7;49.46744;17.99139
Arizona;2004;8;45.90301;17.89189
Arizona;2004;9;42.26110;14.77254
Arizona;2004;10;31.62085;8.74591
Arizona;2004;11;18.48782;1.80641
Arizona;2004;12;15.43204;-1.15254
Arizona;2005;1;15.87484;0.47934
Arizona;2005;2;16.65415;0.57412
Arizona;2005;3;25.69063;2.71073
Arizona;2005;4;35.07456;5.67190
Arizona;2005;5;42.87064;11.61864
Arizona;2005;6;47.56833;15.44510
Arizona;2005;7;51.75749;19.61064
Arizona;2005;8;43.00262;18.43822
Arizona;2005;9;42.05864;15.23988
Arizona;2005;10;33.48358;10.10699
Arizona;2005;11;24.47386;2.83006
Arizona;2005;12;18.64006;-2.32340
Arizona;2006;1;19.87025;-1.88532
Arizona;2006;2;24.96556;-0.72526
Arizona;2006;3;26.47091;1.33345
Arizona;2006;4;37.25219;6.31119
Arizona;2006;5;46.51340;12.22617
Arizona;2006;6;51.28193;16.88347
Arizona;2006;7;49.00301;20.12237
Arizona;2006;8;43.45201;18.51610
Arizona;2006;9;38.40754;13.83230
Arizona;2006;10;30.23811;7.75614
Arizona;2006;11;25.93217;3.67613
Arizona;2006;12;17.09917;-2.51253
Arizona;2007;1;14.70655;-3.44712
Arizona;2007;2;21.90273;-0.00683
Arizona;2007;3;32.59863;3.64782
Arizona;2007;4;37.04261;6.61422
Arizona;2007;5;44.83078;11.89537
Arizona;2007;6;50.71480;16.12380
Arizona;2007;7;49.98741;19.58563
Arizona;2007;8;44.90052;19.72589
Arizona;2007;9;41.15469;15.62879
Arizona;2007;10;33.36344;8.82569
Arizona;2007;11;27.36191;4.81677
Arizona;2007;12;13.22677;-2.06698
Arizona;2008;1;13.19824;-3.71804
Arizona;2008;2;19.65396;-0.51608
Arizona;2008;3;30.46645;2.23318
Arizona;2008;4;37.75864;5.48084
Arizona;2008;5;42.99076;9.47989
Arizona;2008;6;50.31800;16.14781
Arizona;2008;7;47.92004;19.58797
Arizona;2008;8;44.71932;19.09775
Arizona;2008;9;41.03212;15.87136
Arizona;2008;10;34.54320;8.97146
Arizona;2008;11;25.66116;3.81131
Arizona;2008;12;14.56249;-1.06123
Arkansas;2003;1;10.32201;-0.30253
Arkansas;2003;2;12.75048;0.66093
Arkansas;2003;3;21.41914;3.87455
Arkansas;2003;4;26.94852;9.84445
Arkansas;2003;5;27.24044;14.37260
Arkansas;2003;6;28.19471;17.27610
Arkansas;2003;7;30.14579;21.12090
Arkansas;2003;8;30.64608;21.02798
Arkansas;2003;9;27.24035;14.21096
Arkansas;2003;10;25.65335;10.71856
Arkansas;2003;11;20.53760;7.83039
Arkansas;2003;12;11.97306;0.88473
Arkansas;2004;1;10.08010;0.19541
Arkansas;2004;2;14.35975;0.02395
Arkansas;2004;3;21.86629;6.13638
Arkansas;2004;4;25.58470;8.37719
Arkansas;2004;5;27.32603;15.09414
Arkansas;2004;6;27.91822;18.64729
Arkansas;2004;7;28.79426;20.34662
Arkansas;2004;8;28.64873;18.20477
Arkansas;2004;9;30.23094;15.38001
Arkansas;2004;10;25.31880;11.43651
Arkansas;2004;11;17.97815;5.84817
Arkansas;2004;12;11.76486;1.84002
Arkansas;2005;1;10.95664;1.60691
Arkansas;2005;2;16.85286;3.74156
Arkansas;2005;3;20.65140;4.15066
Arkansas;2005;4;24.65326;9.32509
Arkansas;2005;5;28.87458;12.12281
Arkansas;2005;6;31.88913;19.41514
Arkansas;2005;7;31.41793;20.67743
Arkansas;2005;8;32.60811;21.42843
Arkansas;2005;9;32.01321;18.66580
Arkansas;2005;10;25.93236;10.82732
Arkansas;2005;11;18.03163;6.23766
Arkansas;2005;12;13.25442;0.19265
Arkansas;2006;1;15.47434;3.12200
Arkansas;2006;2;15.03082;1.22617
Arkansas;2006;3;21.63853;4.73135
Arkansas;2006;4;28.84833;12.50254
Arkansas;2006;5;27.51962;14.30981
Arkansas;2006;6;31.77374;18.53807
Arkansas;2006;7;33.60260;20.75899
Arkansas;2006;8;32.20776;21.35299
Arkansas;2006;9;28.19899;14.08279
Arkansas;2006;10;24.92477;9.75584
Arkansas;2006;11;17.80289;3.64725
Arkansas;2006;12;12.50442;1.86731
Arkansas;2007;1;11.08434;-0.17463
Arkansas;2007;2;14.65635;1.94514
Arkansas;2007;3;22.01316;5.91119
Arkansas;2007;4;25.19455;9.04765
Arkansas;2007;5;28.06889;14.10763
Arkansas;2007;6;29.65300;18.53496
Arkansas;2007;7;28.41456;19.38091
