statename;Population;Total area;Land area;Water area;gdp;Population Dencity;Very useful fiture
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alabama;579315;253335;25147;1864;199804;2,286754692;0,07412415
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
Alaska;623657;24906;23871;1035;52448;25,04043202;0,04335805
